importid,_id,point_1_geo,point_1_name,point_1_city,point_1_postal_code,point_1_street,point_1_street_number,point_1_country,point_2_geo,point_2_name,point_2_street,point_2_postal_code,point_2_country,point_2_street_number,point_2_city,ndt_in_kmh,rba_id,organisation,duration_in_sec,road_type,report_id,distance_in_meters,report_name
1,160,0101000020E6100000806726BCC0352440C8DF1106A91D4C40,4320,Hinnerup,8382,Århusvej,72,Denmark,0101000020E6100000000000A4B13B2440065AEBD7E61C4C40,4322,Århusvej,8382,Denmark,0,"""Hinnerup""",71,159103,"""COWI""",52,"""MAJOR_ROAD""",158324,1030,"""AAR_BT_0001 4320 4322"""
2,161,0101000020E6100000000000A4B13B2440065AEBD7E61C4C40,4322,Hinnerup,8382,Århusvej,0,Denmark,0101000020E610000000000052CC362440B82269F9D31B4C40,4321,Østjyske Motorvej,8382,Denmark,5,"""Hinnerup""",110,159174,"""COWI""",39,"""MAJOR_ROAD""",158355,1195,"""AAR_BT_0002 4322 4321"""
3,162,0101000020E6100000806726BCC0352440C8DF1106A91D4C40,4320,Hinnerup,8382,Århusvej,72,Denmark,0101000020E610000000E8F731864724407389DB6D841B4C40,4364,Søftenvej,8200,Denmark,0,"""Aarhus""",70,159382,"""COWI""",148,"""MAJOR_ROAD""",158386,2895,"""AAR_BT_0003 4320 4364"""
4,163,0101000020E610000000E8F74491472440EC4693EF871B4C40,4364,Aarhus,8200,Søftenvej,0,Denmark,0101000020E6100000806726E8D03524405C69FA32AC1D4C40,4320,Århusvej,8382,Denmark,72,"""Hinnerup""",70,159534,"""COWI""",148,"""MAJOR_ROAD""",158415,2880,"""AAR_BT_0004 4364 4320"""
5,164,0101000020E6100000C0045262D7362440035F150CD11B4C40,4321,Tilst,8381,Østjyske Motorvej,0,Denmark,0101000020E6100000806187B5194024409B70BA45111E4C40,4323,Nordjyske Motorvej,8382,Denmark,0,"""Hinnerup""",113,159619,"""COWI""",75,"""MAJOR_ROAD""",158446,2345,"""AAR_BT_0005 4321 4323"""
6,165,0101000020E6100000000000B9014024409A91DC1F111E4C40,4323,Hinnerup,8382,Nordjyske Motorvej,0,Denmark,0101000020E610000000000052CC362440B82269F9D31B4C40,4321,Østjyske Motorvej,8382,Denmark,0,"""Hinnerup""",112,159703,"""COWI""",75,"""MAJOR_ROAD""",158475,2335,"""AAR_BT_0006 4323 4321"""
7,166,0101000020E610000000E8F74491472440EC4693EF871B4C40,4364,Aarhus,8200,Søftenvej,0,Denmark,0101000020E6100000000000A4B13B2440065AEBD7E61C4C40,4322,Århusvej,8382,Denmark,0,"""Hinnerup""",70,159780,"""COWI""",106,"""MAJOR_ROAD""",158505,2065,"""AAR_BT_0007 4364 4322"""
8,167,0101000020E6100000000000B9014024409A91DC1F111E4C40,4323,Hinnerup,8382,Nordjyske Motorvej,0,Denmark,0101000020E610000040C85D40314A2440C7BC6FA65F1B4C40,4326,15,8200,Denmark,0,"""Aarhus""",109,159874,"""COWI""",108,"""MAJOR_ROAD""",158536,3255,"""AAR_BT_0008 4323 4326"""
9,278,0101000020E61000008079C7432F5A24406DFB741673134C40,3985,Århus C,8000,Søren Frichs Vej,39,Denmark,0101000020E61000000044FA55ED502440DA6E2B2BE9124C40,3984,Søren Frichs Vej,8230,Denmark,80,"""Aarhus""",39,186209,"""COWI""",113,"""MAJOR_ROAD""",184784,1222,"""AAR_BT_0185 3985 3984"""
10,168,0101000020E610000040C85D0C474A2440B1B0860C641B4C40,4326,Aarhus,8200,15,0,Denmark,0101000020E6100000806187B5194024409B70BA45111E4C40,4323,Nordjyske Motorvej,8382,Denmark,0,"""Hinnerup""",108,159952,"""COWI""",101,"""MAJOR_ROAD""",158565,3030,"""AAR_BT_0009 4326 4323"""
11,169,0101000020E6100000C0045262D7362440035F150CD11B4C40,4321,Tilst,8381,Østjyske Motorvej,0,Denmark,0101000020E610000040C85D40314A2440C7BC6FA65F1B4C40,4326,15,8200,Denmark,0,"""Aarhus""",110,160088,"""COWI""",93,"""MAJOR_ROAD""",158595,2850,"""AAR_BT_0010 4321 4326"""
12,170,0101000020E610000040C85D0C474A2440B1B0860C641B4C40,4326,Aarhus,8200,15,0,Denmark,0101000020E610000000000052CC362440B82269F9D31B4C40,4321,Østjyske Motorvej,8382,Denmark,0,"""Hinnerup""",108,160378,"""COWI""",122,"""MAJOR_ROAD""",158624,3655,"""AAR_BT_0011 4326 4321"""
13,171,0101000020E610000040C85D40314A2440C7BC6FA65F1B4C40,4326,Aarhus,8200,15,0,Denmark,0101000020E610000000CB4CF11A7E24400BED8AB8D31C4C40,4327,Djurslandmotorvejen,8520,Denmark,0,"""Lystrup""",110,160456,"""COWI""",219,"""MAJOR_ROAD""",158655,6715,"""AAR_BT_0012 4326 4327"""
14,279,0101000020E610000000BB4737475D2440A539D71442164C40,3983,Aarhus,8200,Paludan-Müllers Vej,48,Denmark,0101000020E610000040BC0DEE905F244004BB22B0CB154C40,3982,Paludan-Müllers Vej,8210,Denmark,95,"""Aarhus""",35,186211,"""COWI""",51,"""MAJOR_ROAD""",184813,491,"""AAR_BT_0186 3983 3982"""
15,290,0101000020E6100000803B88774064244096670775A1174C40,3155,Århus N,8200,Randersvej,141,Denmark,0101000020E610000080438CA2B56224402184C4143A174C40,2659,Hasle Ringvej,8200,Denmark,141,"""Aarhus""",31,186233,"""COWI""",62,"""MAJOR_ROAD""",185104,541,"""AAR_BT_0197 3155 2659"""
16,291,0101000020E610000080438C93C46224409CAE649536174C40,2659,Aarhus,8200,Hasle Ringvej,138,Denmark,0101000020E6100000802D5A52C66524400388B68613174C40,3154,Randersvej,8200,Denmark,164,"""Aarhus""",31,186235,"""COWI""",63,"""MAJOR_ROAD""",185131,551,"""AAR_BT_0198 2659 3154"""
17,292,0101000020E6100000802D5A89DA6524400ABFE97A14174C40,3154,Aarhus,8200,Randersvej,164,Denmark,0101000020E610000080438CA2B56224402184C4143A174C40,2659,Hasle Ringvej,8200,Denmark,164,"""Aarhus""",35,186237,"""COWI""",61,"""MAJOR_ROAD""",185157,590,"""AAR_BT_0199 3154 2659"""
18,293,0101000020E6100000808D41DC745E2440AF1534FDDF164C40,2658,Aarhus,8200,Hasle Ringvej,0,Denmark,0101000020E610000000BB4737475D2440A539D71442164C40,3983,Paludan-Müllers Vej,8200,Denmark,48,"""Aarhus""",37,186239,"""COWI""",75,"""MAJOR_ROAD""",185184,779,"""AAR_BT_0200 2658 3983"""
19,301,0101000020E6100000409485D29B4D2440CB4F08AC7C154C40,2655,Aarhus,8210,Åby Ringvej,0,Denmark,0101000020E610000000B7EEAC984E244017CC20541A164C40,3159,Viborgvej,8210,Denmark,209,"""Aarhus""",35,186255,"""COWI""",75,"""MAJOR_ROAD""",185396,739,"""AAR_BT_0208 2655 3159"""
20,302,0101000020E610000000B7EE2E8F4E24406A060CBD18164C40,3159,Aarhus,8210,Viborgvej,209,Denmark,0101000020E6100000409485AF824D2440DF93BAA280154C40,2655,Åby Ringvej,8210,Denmark,209,"""Aarhus""",45,186257,"""COWI""",57,"""MAJOR_ROAD""",185422,705,"""AAR_BT_0209 3159 2655"""
21,305,0101000020E610000040A0161B5949244074988B2281144C40,2654,Aarhus,8230,Åby Ringvej,0,Denmark,0101000020E6100000008DD4592E4724403FF4BD439E134C40,3200,Silkeborgvej,8220,Denmark,521,"""Aarhus""",50,189664,"""COWI""",73,"""MAJOR_ROAD""",187006,1018,"""AAR_BT_0212 2654 3200"""
22,306,0101000020E6100000008DD4EB3247244082E3EEF499134C40,3200,Aarhus,8220,Silkeborgvej,521,Denmark,0101000020E610000040A0168F7B492440AA7AD6CA80144C40,2654,Åby Ringvej,8230,Denmark,521,"""Aarhus""",42,189666,"""COWI""",90,"""MAJOR_ROAD""",187032,1055,"""AAR_BT_0213 3200 2654"""
23,172,0101000020E6100000C0CA4CF5077E2440611473FFD81C4C40,4327,Lystrup,8520,Djurslandmotorvejen,0,Denmark,0101000020E610000040C85D0C474A2440B1B0860C641B4C40,4326,15,8200,Denmark,0,"""Aarhus""",110,160779,"""COWI""",219,"""MAJOR_ROAD""",158684,6695,"""AAR_BT_0013 4327 4326"""
24,173,0101000020E610000040C85D40314A2440C7BC6FA65F1B4C40,4326,Aarhus,8200,15,0,Denmark,0101000020E610000080198C9F73522440A027CACAB01A4C40,4349,Søftenvej,8200,Denmark,0,"""Aarhus""",103,160818,"""COWI""",41,"""MAJOR_ROAD""",158715,1175,"""AAR_BT_0014 4326 4349"""
25,174,0101000020E61000000000003483522440B0BA15ECB41A4C40,4349,Aarhus,8200,Søftenvej,0,Denmark,0101000020E610000040C85D0C474A2440B1B0860C641B4C40,4326,15,8200,Denmark,0,"""Aarhus""",93,160867,"""COWI""",47,"""MAJOR_ROAD""",158744,1220,"""AAR_BT_0015 4349 4326"""
26,175,0101000020E6100000804C6CDA99552440F3117596F11B4C40,4359,Aarhus,8200,Randersvej,311,Denmark,0101000020E6100000008CA08896582440FBFD69D0F81A4C40,4348,Randersvej,8200,Denmark,0,"""Aarhus""",61,160897,"""COWI""",54,"""MAJOR_ROAD""",158776,920,"""AAR_BT_0016 4359 4348"""
27,176,0101000020E6100000008CA0A3A85824404CD17F0FFA1A4C40,4348,Aarhus,8200,Randersvej,294,Denmark,0101000020E6100000804C6CDA99552440F3117596F11B4C40,4359,Randersvej,8200,Denmark,311,"""Aarhus""",61,160926,"""COWI""",54,"""MAJOR_ROAD""",158805,920,"""AAR_BT_0017 4348 4359"""
28,177,0101000020E6100000008CA08896582440FBFD69D0F81A4C40,4348,Aarhus,8200,Randersvej,0,Denmark,0101000020E6100000503A9160AA592440E7A90EB9191A4C40,4350,Viborgvej,8381,Denmark,143,"""Tilst""",81,160983,"""COWI""",53,"""MAJOR_ROAD""",158836,1195,"""AAR_BT_0018 4348 4350"""
